id,feedback
1,"The app crashed every time I tried placing a bet on football."
2,"Customer support was slow and unhelpful."
3,"I loved the bonuses, great experience overall!"
4,"Live chat was helpful but payouts were delayed by 3 days."
5,"I couldn’t log in during the tournament weekend."
6,"The slots were fun but I lost connection twice last night."
7,"Withdrawals are quick and I received my money the next day!"
8,"The game froze in the middle of a bonus round — very frustrating."
9,"Best betting experience I've had so far. Keep it up!"
10,"No promotions available this week, very disappointing."
11,"Casino interface is smooth, I like the new design."
12,"I contacted support about a payment issue and they resolved it fast."
13,"I encountered several bugs while playing blackjack on mobile."
14,"The sports odds are decent but not as good as other platforms."
15,"I won €500 but it took 4 days to withdraw it."
16,"Please fix the loading times — it’s way too slow!"
17,"The new poker room is fantastic. I love the layout."
18,"I was banned for no reason and support didn’t explain why."
19,"Betting history is easy to track, very helpful dashboard."
20,"Bonuses are inconsistent. Sometimes I get them, sometimes I don’t."
